specificity_rank	specificity_level	independent_families	prediction_objects	external_match_coverage	coverage_ci95_low	coverage_ci95_high	conditional_direction_accuracy	accuracy_ci95_low	accuracy_ci95_high	evidence_portability	portability_ci95_low	portability_ci95_high
1	module	57	417	1.0	1.0	1.0	0.6835978835978835	0.6230545112781954	0.7403178084099137	0.6835978835978835	0.6230545112781954	0.7403178084099137
2	stress-conditioned module	57	504	0.5749699541250788	0.4658499318471618	0.6849827694235588	0.6960173593298432	0.6221151600827519	0.7632927912782546	0.4001890691641384	0.3167092438699086	0.4853903215641442
3	organ-conditioned module	57	520	0.4799049890808893	0.3721983000263817	0.587564319241085	0.6790927571364491	0.6021721006563143	0.7508910483632456	0.3259000021984786	0.2420649897770742	0.4119346726648492
4	lineage-conditioned module	57	1177	0.2610784408261802	0.1799262300156071	0.3455940239428285	0.679186618152768	0.606554037256747	0.7500587297202701	0.1773209832973309	0.1195935588046734	0.2382238230535343
