comparison	specificity_rank	total_portability_change	total_change_ci95_low	total_change_ci95_high	coverage_contribution	coverage_contribution_ci95_low	coverage_contribution_ci95_high	accuracy_contribution	accuracy_contribution_ci95_low	accuracy_contribution_ci95_high	coverage_share_of_absolute_change	coverage_share_bootstrap_median	coverage_share_ci95_low	coverage_share_ci95_high	decomposition_residual
rank_2_vs_rank_1	2	-0.2834088144337451	-0.3608038645590584	-0.2093178853566665	-0.2931889649956561	-0.3724101281159812	-0.2168796113702155	0.009780150561911	-0.0342721669533553	0.0545946159667336	0.967718985006402	0.9461354813388	0.8458135216239535	0.9971891873655576	-2.255140518769849e-17
rank_3_vs_rank_1	3	-0.3576978813994049	-0.4372428810513126	-0.2824435655109996	-0.3543643018360463	-0.4297904612321588	-0.2810477601237211	-0.0033335795633585	-0.0553330310458947	0.0483549313386621	0.9906804604200709	0.9529606650233796	0.8510070647659147	0.9978379490047756	5.637851296924623e-18
rank_4_vs_rank_1	4	-0.5062769003005526	-0.5802807210131081	-0.4334979355544969	-0.5034954244257543	-0.5708940715631562	-0.4396651129326225	-0.0027814758747983	-0.0514867649240377	0.0485914255219303	0.9945060185974371	0.9677279447701932	0.8977169291880989	0.998262922219868	6.201636426617084e-17
